id	created_at	text	hashtags	symbols	user_mentions	user_id	user_name	user_screen_name	user_followers_count	retweet_count	favorite_count
1096112733400035328	Thu Feb 14 18:23:35 +0000 2019	A joint statement from the offices of @Ilhan @RepPressley @RepRashida and Ocasio-Cortez concerning the 2019 governm… https://t.co/1nkRbpiTgT	[]	[]	[{'screen_name': 'Ilhan', 'name': 'Rep. Ilhan Omar', 'id': 1082334352711790593, 'id_str': '1082334352711790593', 'indices': [38, 44]}, {'screen_name': 'RepPressley', 'name': 'Rep Ayanna Pressley', 'id': 1080584229510172678, 'id_str': '1080584229510172678', 'indices': [45, 57]}, {'screen_name': 'RepRashida', 'name': 'Congresswoman Rashida Tlaib', 'id': 1079769536730140672, 'id_str': '1079769536730140672', 'indices': [58, 69]}]	1079104563280527364	Rep. Alexandria Ocasio-Cortez	RepAOC	124513	398	1397	
1093582852917219337	Thu Feb 07 18:50:44 +0000 2019	Proud to stand with @SenMarkey and over 60 Original House Cosponsors today to introduce our #GreenNewDeal resolutio… https://t.co/j68pkTK2av	[{'text': 'GreenNewDeal', 'indices': [92, 105]}]	[]	[{'screen_name': 'SenMarkey', 'name': 'Ed Markey', 'id': 21406834, 'id_str': '21406834', 'indices': [20, 30]}]	1079104563280527364	Rep. Alexandria Ocasio-Cortez	RepAOC	124513	1380	4560	
1090471469170245637	Wed Jan 30 04:47:12 +0000 2019	RT @RepRashida: Today was my first hearing on @OversightDems. We heard heartbreaking testimony from Mrs. Worsham, who lost one of her two i…	[]	[]	[{'screen_name': 'RepRashida', 'name': 'Congresswoman Rashida Tlaib', 'id': 1079769536730140672, 'id_str': '1079769536730140672', 'indices': [3, 14]}, {'screen_name': 'OversightDems', 'name': 'Oversight Committee', 'id': 31122582, 'id_str': '31122582', 'indices': [46, 60]}]	1079104563280527364	Rep. Alexandria Ocasio-Cortez	RepAOC	124513	2212	0	
1090471337724964870	Wed Jan 30 04:46:41 +0000 2019	Today @OversightDems held its first-ever hearing on the skyrocketing costs of prescription drug prices.These new… https://t.co/azOPRW6iAi	[]	[]	[{'screen_name': 'OversightDems', 'name': 'Oversight Committee', 'id': 31122582, 'id_str': '31122582', 'indices': [6, 20]}]	1079104563280527364	Rep. Alexandria Ocasio-Cortez	RepAOC	124513	349	2697	
1088209102722031616	Wed Jan 23 22:57:22 +0000 2019	The post-its outside our office are growing 💜 thank you all for your continued support as we navigate and learn in… https://t.co/8pqP3mDl6N	[]	[]	[]	1079104563280527364	Rep. Alexandria Ocasio-Cortez	RepAOC	124513	477	5267	
1087801007470534662	Tue Jan 22 19:55:45 +0000 2019	Prior to our swearing-in, NY-14 casework was being fwded to @SenGillibrand. Thankful for her office’s continued a… https://t.co/C7Krr187DG	[]	[]	[{'screen_name': 'SenGillibrand', 'name': 'Kirsten Gillibrand', 'id': 72198806, 'id_str': '72198806', 'indices': [60, 74]}]	1079104563280527364	Rep. Alexandria Ocasio-Cortez	RepAOC	124513	95	966	
1087800043623645185	Tue Jan 22 19:51:55 +0000 2019	We’ve been documenting the buildout on my Congressional Instagram (IG: @ repocasiocortez).In the meantime, we are… https://t.co/zNkjC21dl1	[]	[]	[]	1079104563280527364	Rep. Alexandria Ocasio-Cortez	RepAOC	124513	73	732	
1087799188430245888	Tue Jan 22 19:48:31 +0000 2019	Office update/NYC Rent life: although we attempted to take over our predecessor’s lease, the landlord wanted to alm… https://t.co/zaWnGov5vJ	[]	[]	[]	1079104563280527364	Rep. Alexandria Ocasio-Cortez	RepAOC	124513	430	4102	
1085658206230040578	Wed Jan 16 22:01:01 +0000 2019	We at the House are doing *our* job passing bills reopen government, so why won’t @senatemajldr do his?We left to… https://t.co/NaIbuIWNMX	[]	[]	[{'screen_name': 'senatemajldr', 'name': 'Leader McConnell', 'id': 1249982359, 'id_str': '1249982359', 'indices': [82, 95]}]	1079104563280527364	Rep. Alexandria Ocasio-Cortez	RepAOC	124513	7205	20088	
1084915172504989696	Mon Jan 14 20:48:28 +0000 2019	I’ve been getting letters, visits, &amp; calls from workers and everyday Americans like this about the shutdown all wee… https://t.co/FXeXZhElmz	[]	[]	[]	1079104563280527364	Rep. Alexandria Ocasio-Cortez	RepAOC	124513	365	2030	
1084278540596662272	Sun Jan 13 02:38:43 +0000 2019	It is a complete injustice that to this day, some American citizens do not have federal representation in governmen… https://t.co/4jSZjQgwzb	[]	[]	[]	1079104563280527364	Rep. Alexandria Ocasio-Cortez	RepAOC	124513	495	2887	
1084277855016706049	Sun Jan 13 02:36:00 +0000 2019	Thank you @townhallproject! https://t.co/BjGxfp5bd5	[]	[]	[{'screen_name': 'townhallproject', 'name': 'Town Hall Project', 'id': 826472694426255361, 'id_str': '826472694426255361', 'indices': [10, 26]}]	1079104563280527364	Rep. Alexandria Ocasio-Cortez	RepAOC	124513	96	638	
1083490645346521088	Thu Jan 10 22:27:54 +0000 2019	RT @TheRevAl: Great meeting with Congresswoman Ocasio-Cortez! After talking serious issues we lightened it up a bit and talked James Brown.…	[]	[]	[{'screen_name': 'TheRevAl', 'name': 'Reverend Al Sharpton', 'id': 42389136, 'id_str': '42389136', 'indices': [3, 12]}]	1079104563280527364	Rep. Alexandria Ocasio-Cortez	RepAOC	124513	3085	0	
1083061753322397698	Wed Jan 09 18:03:38 +0000 2019	It was an honor of a lifetime to meet with Rev. Jesse Jackson to discuss how we advance the movement for economic a… https://t.co/v3pmM9wwVs	[]	[]	[]	1079104563280527364	Rep. Alexandria Ocasio-Cortez	RepAOC	124513	470	4904	
1082706172623376384	Tue Jan 08 18:30:41 +0000 2019	I just had a furloughed worker come visit me in my office.“I work for HUD,” he said. “My family is hurting now th… https://t.co/lczmPvsrWL	[]	[]	[]	1079104563280527364	Rep. Alexandria Ocasio-Cortez	RepAOC	124513	35014	169847	
